Original prediction,Ground truth,y,Sparsity thresholds,Fidelity to prediction,Fidelity to prediction (logit),Deviation to ground truth,GEF,Accuracy,Remove technique,Explainer
9.400979042053223,9.5,7.377027273178101,0.0,-2.023951768875122,0.0,-2.1229727268218994,1.0,0.0,Zero,TempME
9.400979042053223,9.5,7.377027273178101,0.0009110511944006583,-2.023951768875122,0.0,-2.1229727268218994,1.0,0.0,Zero,TempME
9.400979042053223,9.5,7.377027273178101,0.001211981771940096,-2.023951768875122,0.0,-2.1229727268218994,1.0,0.0,Zero,TempME
9.400979042053223,9.5,7.377027273178101,0.0016121527485263298,-2.023951768875122,0.0,-2.1229727268218994,1.0,0.0,Zero,TempME
9.400979042053223,9.5,7.377027273178101,0.002144168144972869,-2.023951768875122,0.0,-2.1229727268218994,1.0,0.0,Zero,TempME
9.400979042053223,9.5,7.377027273178101,0.002851248876019341,-2.023951768875122,0.0,-2.1229727268218994,1.0,0.0,Zero,TempME
9.400979042053223,9.5,7.377027273178101,0.0037906173220366157,-2.023951768875122,0.0,-2.1229727268218994,1.0,0.0,Zero,TempME
9.400979042053223,9.5,7.377027273178101,0.005037905171317081,-2.023951768875122,0.0,-2.1229727268218994,1.0,0.0,Zero,TempME
9.400979042053223,9.5,7.377027273178101,0.006692850924284843,-2.023951768875122,0.0,-2.1229727268218994,1.0,0.0,Zero,TempME
9.400979042053223,9.5,7.377027273178101,0.008886588719087929,-2.023951768875122,0.0,-2.1229727268218994,1.0,0.0,Zero,TempME
9.400979042053223,9.5,7.377027273178101,0.01179083986420093,-2.023951768875122,0.0,-2.1229727268218994,1.0,0.0,Zero,TempME
9.400979042053223,9.5,7.377027273178101,0.01562927004740705,-2.023951768875122,0.0,-2.1229727268218994,1.0,0.0,Zero,TempME
9.400979042053223,9.5,7.377027273178101,0.020691112270087852,-2.023951768875122,0.0,-2.1229727268218994,1.0,0.0,Zero,TempME
9.400979042053223,9.5,7.377027273178101,0.027346786796182854,-2.023951768875122,0.0,-2.1229727268218994,1.0,0.0,Zero,TempME
9.400979042053223,9.5,7.377027273178101,0.03606453809916632,-2.023951768875122,0.0,-2.1229727268218994,1.0,0.0,Zero,TempME
9.400979042053223,9.5,7.377027273178101,0.047425873177566746,-2.023951768875122,0.0,-2.1229727268218994,1.0,0.0,Zero,TempME
9.400979042053223,9.5,7.377027273178101,0.062135633086429665,-2.023951768875122,0.0,-2.1229727268218994,1.0,0.0,Zero,TempME
9.400979042053223,9.5,7.377027273178101,0.08101976866530786,-2.023951768875122,0.0,-2.1229727268218994,1.0,0.0,Zero,TempME
9.400979042053223,9.5,7.377027273178101,0.10500058502026482,-2.023951768875122,0.0,-2.1229727268218994,1.0,0.0,Zero,TempME
9.400979042053223,9.5,7.377027273178101,0.13503642292280232,-2.023951768875122,0.0,-2.1229727268218994,1.0,0.0,Zero,TempME
9.400979042053223,9.5,7.377027273178101,0.1720128329357613,-2.023951768875122,0.0,-2.1229727268218994,1.0,0.0,Zero,TempME
