Original prediction,Ground truth,y,Sparsity thresholds,Fidelity to prediction,Fidelity to prediction (logit),Deviation to ground truth,GEF,Accuracy,Remove technique,Explainer
9.902213096618652,10.0,7.936049938201904,0.0,-1.966163158416748,0.0,-2.0639500617980957,1.0,0.0,Zero,TGNNExplainer
9.902213096618652,10.0,7.936049938201904,0.0009110511944006583,-1.966163158416748,0.0,-2.0639500617980957,1.0,0.0,Zero,TGNNExplainer
9.902213096618652,10.0,7.936049938201904,0.001211981771940096,-1.966163158416748,0.0,-2.0639500617980957,1.0,0.0,Zero,TGNNExplainer
9.902213096618652,10.0,7.936049938201904,0.0016121527485263298,-1.966163158416748,0.0,-2.0639500617980957,1.0,0.0,Zero,TGNNExplainer
9.902213096618652,10.0,7.936049938201904,0.002144168144972869,-1.966163158416748,0.0,-2.0639500617980957,1.0,0.0,Zero,TGNNExplainer
9.902213096618652,10.0,7.936049938201904,0.002851248876019341,-1.966163158416748,0.0,-2.0639500617980957,1.0,0.0,Zero,TGNNExplainer
9.902213096618652,10.0,7.936049938201904,0.0037906173220366157,-1.966163158416748,0.0,-2.0639500617980957,1.0,0.0,Zero,TGNNExplainer
9.902213096618652,10.0,7.936049938201904,0.005037905171317081,-1.966163158416748,0.0,-2.0639500617980957,1.0,0.0,Zero,TGNNExplainer
9.902213096618652,10.0,7.936049938201904,0.006692850924284843,-1.966163158416748,0.0,-2.0639500617980957,1.0,0.0,Zero,TGNNExplainer
9.902213096618652,10.0,7.936049938201904,0.008886588719087929,-1.966163158416748,0.0,-2.0639500617980957,1.0,0.0,Zero,TGNNExplainer
9.902213096618652,10.0,7.936049938201904,0.01179083986420093,-1.966163158416748,0.0,-2.0639500617980957,1.0,0.0,Zero,TGNNExplainer
9.902213096618652,10.0,7.936049938201904,0.01562927004740705,-1.966163158416748,0.0,-2.0639500617980957,1.0,0.0,Zero,TGNNExplainer
9.902213096618652,10.0,7.936049938201904,0.020691112270087852,-1.966163158416748,0.0,-2.0639500617980957,1.0,0.0,Zero,TGNNExplainer
9.902213096618652,10.0,7.936049938201904,0.027346786796182854,-1.966163158416748,0.0,-2.0639500617980957,1.0,0.0,Zero,TGNNExplainer
9.902213096618652,10.0,7.936049938201904,0.03606453809916632,-1.966163158416748,0.0,-2.0639500617980957,1.0,0.0,Zero,TGNNExplainer
9.902213096618652,10.0,7.936049938201904,0.047425873177566746,-1.966163158416748,0.0,-2.0639500617980957,1.0,0.0,Zero,TGNNExplainer
9.902213096618652,10.0,7.936049938201904,0.062135633086429665,-1.966163158416748,0.0,-2.0639500617980957,1.0,0.0,Zero,TGNNExplainer
9.902213096618652,10.0,7.936049938201904,0.08101976866530786,-1.966163158416748,0.0,-2.0639500617980957,1.0,0.0,Zero,TGNNExplainer
9.902213096618652,10.0,7.936049938201904,0.10500058502026482,-1.966163158416748,0.0,-2.0639500617980957,1.0,0.0,Zero,TGNNExplainer
9.902213096618652,10.0,7.936049938201904,0.13503642292280232,-1.966163158416748,0.0,-2.0639500617980957,1.0,0.0,Zero,TGNNExplainer
9.902213096618652,10.0,7.936049938201904,0.1720128329357613,-1.966163158416748,0.0,-2.0639500617980957,1.0,0.0,Zero,TGNNExplainer
9.902213096618652,10.0,7.936049938201904,0.21657909576817586,-1.966163158416748,0.0,-2.0639500617980957,1.0,0.0,Zero,TGNNExplainer
9.902213096618652,10.0,7.936049938201904,0.26894142136999505,-1.966163158416748,0.0,-2.0639500617980957,1.0,0.0,Zero,TGNNExplainer
9.902213096618652,10.0,7.936049938201904,0.32865254651726983,-1.966163158416748,0.0,-2.0639500617980957,1.0,0.0,Zero,TGNNExplainer
9.902213096618652,10.0,7.936049938201904,0.39446751277941416,-1.966163158416748,0.0,-2.0639500617980957,1.0,0.0,Zero,TGNNExplainer
9.902213096618652,10.0,7.936049938201904,0.46434632916602836,-1.966163158416748,0.0,-2.0639500617980957,1.0,0.0,Zero,TGNNExplainer
9.902213096618652,10.0,7.936049938201904,0.5356536708339716,-1.966163158416748,0.0,-2.0639500617980957,1.0,0.0,Zero,TGNNExplainer
9.902213096618652,10.0,7.936049938201904,0.6055324872205854,-1.966163158416748,0.0,-2.0639500617980957,1.0,0.0,Zero,TGNNExplainer
9.902213096618652,10.0,7.936049938201904,0.6713474534827298,-1.966163158416748,0.0,-2.0639500617980957,1.0,0.0,Zero,TGNNExplainer
9.902213096618652,10.0,4.350868225097656,0.7310585786300048,-5.551344871520996,0.0,-5.649131774902344,1.0,0.0,Zero,TGNNExplainer
9.902213096618652,10.0,4.350868225097656,0.7834209042318241,-5.551344871520996,0.0,-5.649131774902344,1.0,0.0,Zero,TGNNExplainer
9.902213096618652,10.0,4.350868225097656,0.8279871670642385,-5.551344871520996,0.0,-5.649131774902344,1.0,0.0,Zero,TGNNExplainer
9.902213096618652,10.0,2.685251235961914,0.8649635770771975,-7.216961860656738,0.0,-7.314748764038086,1.0,0.0,Zero,TGNNExplainer
9.902213096618652,10.0,2.685251235961914,0.8949994149797351,-7.216961860656738,0.0,-7.314748764038086,1.0,0.0,Zero,TGNNExplainer
9.902213096618652,10.0,2.685251235961914,0.9189802313346921,-7.216961860656738,0.0,-7.314748764038086,1.0,0.0,Zero,TGNNExplainer
9.902213096618652,10.0,2.685251235961914,0.9378643669135703,-7.216961860656738,0.0,-7.314748764038086,1.0,0.0,Zero,TGNNExplainer
9.902213096618652,10.0,2.685251235961914,0.9525741268224331,-7.216961860656738,0.0,-7.314748764038086,1.0,0.0,Zero,TGNNExplainer
9.902213096618652,10.0,2.685251235961914,0.9639354619008336,-7.216961860656738,0.0,-7.314748764038086,1.0,0.0,Zero,TGNNExplainer
9.902213096618652,10.0,2.685251235961914,0.972653213203817,-7.216961860656738,0.0,-7.314748764038086,1.0,0.0,Zero,TGNNExplainer
9.902213096618652,10.0,2.685251235961914,0.9793088877299121,-7.216961860656738,0.0,-7.314748764038086,1.0,0.0,Zero,TGNNExplainer
9.902213096618652,10.0,2.685251235961914,0.984370729952593,-7.216961860656738,0.0,-7.314748764038086,1.0,0.0,Zero,TGNNExplainer
9.902213096618652,10.0,2.685251235961914,0.9882091601357991,-7.216961860656738,0.0,-7.314748764038086,1.0,0.0,Zero,TGNNExplainer
9.902213096618652,10.0,2.685251235961914,0.9911134112809121,-7.216961860656738,0.0,-7.314748764038086,1.0,0.0,Zero,TGNNExplainer
9.902213096618652,10.0,2.685251235961914,0.9933071490757152,-7.216961860656738,0.0,-7.314748764038086,1.0,0.0,Zero,TGNNExplainer
9.902213096618652,10.0,2.685251235961914,0.9949620948286829,-7.216961860656738,0.0,-7.314748764038086,1.0,0.0,Zero,TGNNExplainer
9.902213096618652,10.0,2.685251235961914,0.9962093826779633,-7.216961860656738,0.0,-7.314748764038086,1.0,0.0,Zero,TGNNExplainer
9.902213096618652,10.0,2.685251235961914,0.9971487511239807,-7.216961860656738,0.0,-7.314748764038086,1.0,0.0,Zero,TGNNExplainer
9.902213096618652,10.0,2.685251235961914,0.9978558318550271,-7.216961860656738,0.0,-7.314748764038086,1.0,0.0,Zero,TGNNExplainer
